"","Region","NewArea","NewArea2","Decile","N","Max","Min","Mean"
"1","Urban",1,"Sh_Arak","4",24,7844354.83870968,6938750,7369737.76217209
"2","Urban",1,"Sh_Arak","9",7,18757647.0588235,14920909.0909091,16254688.8291974
"3","Urban",1,"Sh_Arak","7",10,11901666.6666667,10466666.6666667,11201860.8214498
"4","Urban",1,"Sh_Arak","5",20,8895882.35294118,7902916.66666667,8451579.27891342
"5","Urban",1,"Sh_Arak","2",20,5767500,4763620.68965517,5233698.93288397
"6","Urban",1,"Sh_Arak","8",10,14647352.9411765,12284117.6470588,13181381.3630977
"7","Urban",1,"Sh_Arak","6",19,10402083.3333333,9029000,9695715.91115052
"8","Urban",1,"Sh_Arak","3",20,6702941.17647059,5814814.81481481,6220084.2407609
"9","Urban",1,"Sh_Arak","1",16,4509583.33333333,2261176.47058824,3881901.41358439
"10","Urban",1,"Sh_Arak","10",3,25222941.1764706,20496666.6666667,22749591.503268
"11","Urban",0,"Markazi","9",50,15391176.4705882,11604705.8823529,13090634.2601732
"12","Urban",0,"Markazi","4",44,6080000,5392352.94117647,5717650.03855706
"13","Urban",0,"Markazi","5",39,7035172.4137931,6162954.54545454,6577080.22133967
"14","Urban",0,"Markazi","6",50,8104545.45454545,7052758.62068966,7580126.83406223
"15","Urban",0,"Markazi","2",41,4503225.80645161,3647777.77777778,4085834.52912547
"16","Urban",0,"Markazi","1",44,3634315.78947368,1146774.19354839,3028134.36396282
"17","Urban",0,"Markazi","3",42,5310555.55555556,4536585.36585366,4906767.13493174
"18","Urban",0,"Markazi","7",51,9507727.27272727,8121764.70588235,8782480.76340886
"19","Urban",0,"Markazi","10",38,51193000,15480000,20176500.4695365
"20","Urban",0,"Markazi","8",42,11554705.8823529,9581379.31034483,10568148.3330166
"21","Urban",1,"Gilan","9",147,11386911.7647059,8594064.51612903,9896378.56958135
"22","Urban",1,"Gilan","8",105,8560500,7086580.64516129,7852263.02932538
"23","Urban",1,"Gilan","7",79,7063909.09090909,6019583.33333333,6550136.23951705
"24","Urban",1,"Gilan","4",54,4529000,3951176.47058824,4269005.83011635
"25","Urban",1,"Gilan","5",40,5207941.17647059,4548689.65517241,4890038.64484249
"26","Urban",1,"Gilan","2",18,3290000,2691354.16666667,3002723.36177837
"27","Urban",1,"Gilan","6",82,6010000,5212058.82352941,5648876.30403332
"28","Urban",1,"Gilan","10",165,141318000,11420588.2352941,16987657.0997748
"29","Urban",1,"Gilan","3",17,3919705.88235294,3368636.36363636,3683059.54761994
"30","Urban",1,"Gilan","1",12,2642395.83333333,1106250,2213196.03812949
"31","Urban",2,"Mazandaran","9",105,10468235.2941176,7874545.45454545,9155104.32673723
"32","Urban",2,"Mazandaran","10",163,59925416.6666667,10482258.0645161,16716335.6658745
"33","Urban",2,"Mazandaran","7",51,6492045.45454545,5559469.03225807,6050518.57583963
"34","Urban",2,"Mazandaran","8",78,7836363.63636364,6494074.07407407,7182222.56721658
"35","Urban",2,"Mazandaran","4",13,4158454.54545454,3671111.11111111,3957773.84888044
"36","Urban",2,"Mazandaran","5",18,4734117.64705882,4184517.24137931,4454610.35800166
"37","Urban",2,"Mazandaran","6",29,5510137.93103448,4785454.54545454,5172094.70772943
"38","Urban",2,"Mazandaran","2",9,3017586.20689655,2812903.22580645,2948752.83853877
"39","Urban",2,"Mazandaran","3",2,3509482.75862069,3223172.4137931,3366327.5862069
"40","Urban",3,"Az_Sharghi","10",58,39558333.3333333,10458823.5294118,15630874.3368733
"41","Urban",3,"Az_Sharghi","6",28,5401176.47058824,4711764.70588235,5074199.32923517
"42","Urban",3,"Az_Sharghi","3",20,3523529.41176471,3046000,3352265.46315863
"43","Urban",3,"Az_Sharghi","5",28,4672368.42105263,4106666.66666667,4366274.50906252
"44","Urban",3,"Az_Sharghi","7",37,6372916.66666667,5485294.11764706,5934329.67533311
"45","Urban",3,"Az_Sharghi","8",46,7704545.45454545,6403722.22222222,6989837.89530433
"46","Urban",3,"Az_Sharghi","9",47,10275000,7808064.51612903,8801585.52573143
"47","Urban",3,"Az_Sharghi","2",16,3013636.36363636,2571250,2782593.86588887
"48","Urban",303,"Sh_Tabriz","1",24,3603208.33333333,1823548.38709677,3059883.26519463
"49","Urban",303,"Sh_Tabriz","2",28,4535294.11764706,3746419.35483871,4138198.60496996
"50","Urban",303,"Sh_Tabriz","4",36,6167647.05882353,5365000,5791863.19827144
"51","Urban",303,"Sh_Tabriz","3",32,5350172.4137931,4572045.45454545,4956714.21076336
"52","Urban",303,"Sh_Tabriz","9",21,15427941.1764706,11667636.3636364,13347131.7075774
"53","Urban",303,"Sh_Tabriz","8",26,11415208.3333333,9622250,10512087.8365652
"54","Urban",303,"Sh_Tabriz","5",29,7082777.77777778,6211551.72413793,6641418.00567985
"55","Urban",303,"Sh_Tabriz","10",40,42560000,15604500,23154033.3334187
"56","Urban",303,"Sh_Tabriz","7",27,9568750,8235818.18181818,8939715.38838123
"57","Urban",303,"Sh_Tabriz","6",29,8074659.09090909,7132941.17647059,7537055.21305382
"58","Urban",3,"Az_Sharghi","4",19,4096315.78947368,3566055.55555556,3826169.56439284
"59","Urban",3,"Az_Sharghi","1",11,2425000,630000,1747301.39887721
"60","Urban",401,"Sh_Urmia","8",14,8295882.35294118,7005740.74074074,7618201.75634691
"61","Urban",401,"Sh_Urmia","7",6,6802272.72727273,6005625,6437096.59090909
"62","Urban",401,"Sh_Urmia","10",21,25212931.0344828,11330882.3529412,15198423.8529732
"63","Urban",401,"Sh_Urmia","6",15,5719259.25925926,5057407.40740741,5482252.70534876
"64","Urban",401,"Sh_Urmia","4",4,4306111.11111111,3841176.47058824,4149934.92224476
"65","Urban",401,"Sh_Urmia","3",6,3760681.81818182,3316392.77777778,3544240.5056743
"66","Urban",401,"Sh_Urmia","5",5,4838750,4577272.72727273,4688891.41414141
"67","Urban",401,"Sh_Urmia","2",1,2748627.45098039,2748627.45098039,2748627.45098039
"68","Urban",401,"Sh_Urmia","9",13,11025344.8275862,8316590.90909091,9458719.93981948
"69","Urban",401,"Sh_Urmia","1",1,1297058.82352941,1297058.82352941,1297058.82352941
"70","Urban",4,"Az_Gharbi","4",51,5711481.48148148,4950000,5295549.34064245
"71","Urban",4,"Az_Gharbi","10",13,32970588.2352941,15597777.7777778,20409187.2449333
"72","Urban",4,"Az_Gharbi","6",62,7547727.27272727,6556363.63636364,7016192.26756381
"73","Urban",4,"Az_Gharbi","9",38,14161000,10821000,12084696.5481113
"74","Urban",4,"Az_Gharbi","8",40,10694193.5483871,8921481.48148148,9756799.26720589
"75","Urban",4,"Az_Gharbi","7",47,8805000,7564611.11111111,8207576.62527698
"76","Urban",4,"Az_Gharbi","2",55,4221681.81818182,3390000,3846882.09720751
"77","Urban",4,"Az_Gharbi","5",52,6546666.66666667,5738235.29411765,6117028.84404428
"78","Urban",4,"Az_Gharbi","3",36,4937708.33333333,4225000,4613757.21415916
"79","Urban",4,"Az_Gharbi","1",44,3362368.42105263,1004000,2628354.11683351
"80","Urban",5,"Kermanshah","8",74,10459516.1290323,8679176.47058824,9425292.29298571
"81","Urban",5,"Kermanshah","5",44,6354411.76470588,5584166.66666667,5958437.87944793
"82","Urban",5,"Kermanshah","6",64,7356774.19354839,6407272.72727273,6850953.32986565
"83","Urban",5,"Kermanshah","7",57,8656458.33333333,7408823.52941176,8043441.41169924
