,???,???,HLiterate,Knowledge,tenure,area,room,car,oven,frez_refrig,electricity,bathroom,ego,pipewater,???? ???????? ??? ?? ??? ?????,heatfuel,hotwater,G0451,G0452,G0453,G044,Energy_Share,Subsidy,Food_Share,Low_Calorie,Low_Protein,FoodKCaloriesHH_Per,No_Insurance,Area_Per,skeleton,House_High_Share,Tech_low,Equip_low
9,90,1,0.436088247,0.231012326,0.585631557,17.12535142,0.763038333,0.925487031,0.049239276,0.973925583,0.002211551,0.15193525,0.84350775,0.046507715,0.261996463,0.263620908,0.266869838,0.022009766,0.024868,0.004163845,0.014855657,0.065897268,0.349405211,0.359028469,0.743823404,0.537522646,1709.063233,0.476043105,0.586852416,0.126827842,0.164656384,0.501396931,0.111924312
20,91,1,0.396747396,0.190328164,0.586741448,18.55597679,0.825470898,0.890326549,0.038469977,0.985065711,0.001380196,0.106189117,0.77146648,0.023151104,0.207745663,0.208941063,0.210883809,0.020264549,0.018776543,0.002781559,0.012950657,0.054773308,0.368317453,0.348512478,0.78764369,0.610305588,1661.88411,0.467335826,0.535687111,0.100461517,0.1697588,0.44303371,0.091068939
29,92,1,0.357312399,0.187455935,0.559898987,18.94442841,0.86578768,0.886709846,0.026692514,0.977771314,0.003283524,0.095036317,0.753798381,0.032332673,0.197969689,0.198542809,0.200090833,0.018503607,0.019318086,0.0026516,0.012103094,0.052576387,0.311184781,0.342765,0.822217764,0.642282309,1565.234899,0.440609453,0.483011636,0.102304812,0.189900002,0.451275621,0.072129845
35,93,1,0.370939515,0.209597776,0.588585401,19.09615423,0.869031291,0.895213899,0.035734148,0.98685977,0.001647354,0.114553653,0.729810858,0.042273885,0.248604476,0.248942061,0.251749232,0.022264825,0.024013665,0.001977778,0.011778044,0.060034312,0.274163274,0.348690732,0.823749586,0.648393811,1563.080744,0.386082524,0.493794964,0.110242932,0.176879807,0.496431592,0.072747915
43,94,1,0.370286795,0.214563335,0.59376421,19.52838078,0.913864801,0.889835099,0.024608173,0.981566154,0.000987754,0.080140552,0.73863904,0.035623646,0.221777074,0.221441387,0.2244429,0.020975788,0.023130666,0.001634715,0.01207013,0.057811299,0.231868702,0.328194764,0.796003786,0.612176657,1624.674342,0.296800187,0.490483399,0.08290804,0.181223015,0.507230885,0.064956341
51,95,1,0.358129195,0.187851221,0.551076788,19.22906852,0.87057421,0.864647003,0.027070467,0.985020612,0.000928407,0.071233982,0.723992303,0.030910548,0.23761478,0.239355787,0.240868455,0.025239741,0.025699398,0.002027296,0.01548872,0.068455155,0.213996985,0.319808717,0.822633654,0.641273139,1557.391436,0.267864,0.488457415,0.093481764,0.216813098,0.486987279,0.071791069
70,96,1,0.342570685,0.170058659,0.564349957,18.32371012,0.855496174,0.882121738,0.02004045,0.985415441,0,0.063146992,0.696983985,0.032617478,0.229193754,0.228863193,0.229839337,0.023990145,0.022469555,0.001846728,0.016106616,0.064413044,0.200024917,0.332916557,0.79789946,0.647501027,1627.468819,0.348031119,0.519127918,0.091046391,0.194983152,0.453021345,0.067790291
80,97,1,0.326264459,0.172457023,0.542773585,19.82187298,0.901655974,0.869839531,0.0140132,0.98120497,0.000865188,0.072693417,0.718688736,0.034173041,0.219446489,0.220165736,0.220011713,0.022223296,0.019807947,0.001375311,0.014667461,0.058074014,0.167664481,0.333493238,0.800680552,0.625583051,1597.631729,0.366723902,0.465499898,0.084073973,0.192072307,0.458055475,0.067830298
89,98,1,0.291282433,0.149160669,0.551439826,19.94976429,0.911741948,0.845383769,0.01397146,0.986490115,0.000270876,0.064093696,0.656820159,0.023735955,0.184744714,0.187731431,0.188459292,0.018380864,0.017027488,0.001167741,0.012465937,0.04904203,0.125326742,0.332098439,0.840896327,0.673539336,1534.410857,0.320565702,0.442295631,0.07445885,0.202706447,0.392032864,0.060607652
10,90,2,0.346409285,0.174027886,0.671028047,20.41951921,0.85049413,0.876297548,0.033016653,0.984789502,0.000709424,0.090879882,0.836025005,0.026042102,0.229736561,0.232214025,0.234613393,0.020449439,0.025133619,0.003999196,0.013515157,0.06309741,0.249541167,0.33951045,0.589384083,0.372714095,2035.277867,0.406928999,0.415810959,0.090133597,0.152399022,0.364309769,0.06353511
19,91,2,0.342327648,0.1424021,0.657787921,22.21222262,0.936191748,0.846431318,0.026219885,0.994092023,5.47E-05,0.087378942,0.790333412,0.020345793,0.207111151,0.207292289,0.209972506,0.019425898,0.019321194,0.003538015,0.012541451,0.054826557,0.285184471,0.343802521,0.631144984,0.442520032,1991.860921,0.366767891,0.349761609,0.089980826,0.146991137,0.365339824,0.047344584
22,92,2,0.274981233,0.133868493,0.632163829,22.20137929,0.951297713,0.817525322,0.023434668,0.982646371,0.001994781,0.062858849,0.775759069,0.035494936,0.173186915,0.174963249,0.175550242,0.016389022,0.017371115,0.001671843,0.010619135,0.046051114,0.236673624,0.34496403,0.666026931,0.428560785,1903.25635,0.365534863,0.331760069,0.078065089,0.154869879,0.381587477,0.046646023
32,93,2,0.295540948,0.147490471,0.646248906,22.72050721,0.981970344,0.831939264,0.019153039,0.991597572,6.71E-05,0.066404487,0.751175398,0.026466647,0.178960466,0.179845983,0.182010303,0.019338515,0.02194174,0.002024592,0.011051244,0.054356091,0.192753136,0.331289686,0.67739223,0.424920734,1904.542751,0.322557904,0.316290854,0.069599403,0.143529487,0.426635771,0.042586388
50,94,2,0.330488104,0.116159566,0.655685905,22.83556941,0.994422637,0.82331935,0.017809774,0.99053339,0.000321797,0.058978921,0.734162407,0.019759844,0.18779347,0.190704063,0.191979078,0.020188326,0.023234955,0.001950163,0.01166069,0.057034135,0.177894743,0.320850038,0.648341518,0.450482253,1922.502,0.242434877,0.316460482,0.065701081,0.147971229,0.427529089,0.034471112
53,95,2,0.28997284,0.126727875,0.650930138,22.8058911,0.975376605,0.798447338,0.016509424,0.989152415,0.000179828,0.049666197,0.721756646,0.020376132,0.180066418,0.182217383,0.18218194,0.023292254,0.02454095,0.001905002,0.01427686,0.064015067,0.160830705,0.317297704,0.665568972,0.437114258,1925.266717,0.199449264,0.305320328,0.062675883,0.157268776,0.402290053,0.04027774
