"","FoodType","Region","N","Average_New","KCalories","Protein","Average_Protein"
"1","Berenj","Urban",12494,68.9228990333481,3.56,0.069,4.75568003330102
"2","Ghand","Urban",17919,34.5829603927185,3.87878787878788,0,0
"3","Goosht","Urban",10844,13.3213051573892,2.79411764705882,0.141176470588235,1.88065484574906
"4","Hoboobat","Urban",12901,16.6291362519935,3.5,0.227777777777778,3.78774770184296
"5","Khoshkbar","Urban",9119,6.29683771693469,6,0.2,1.25936754338694
"6","Mahi","Urban",7939,7.27517427969205,1,0.179032258064516,1.30249087910616
"7","Makarooni","Urban",15170,21.0597266079261,3.625,0.125,2.63246582599076
"8","Mast","Urban",15490,35.1512525228473,1.2,0.0521052631578947,1.83156526303257
"9","Mive","Urban",19281,165.243575700722,0.504716981132076,0.00518867924528302,0.857395911654688
"10","Morgh","Urban",18349,52.3264287223069,2,0.179032258064516,9.36811869060655
"11","Nan","Urban",19948,287.888391414484,2.834375,0.0890625,25.6400598603524
"12","Panir","Urban",17641,10.3209729865253,2.5,0.0521052631578947,0.537777013508425
"13","Roghan","Urban",18412,31.4306596493275,9,0,0
"14","Sabzi","Urban",19880,149.508846883584,0.280701754385965,0.0140350877192982,2.09836978082224
"15","Shir","Urban",15585,72.043989433417,0.6,0.0521052631578947,3.75387102837278
"16","Sibzamini","Urban",19204,55.780911357439,0.808823529411765,0.0235294117647059,1.31249203193974
"17","Tokhmemorgh","Urban",19235,18.1303115490201,1.28,0.104,1.8855524010981
"18","Berenj","Rural",11835,64.3484975235772,3.56,0.069,4.44004632912683
"19","Ghand","Rural",16764,39.1454835518278,3.87878787878788,0,0
"20","Goosht","Rural",7620,12.9007742354937,2.79411764705882,0.141176470588235,1.82128577442264
"21","Hoboobat","Rural",12442,16.6238795927074,3.5,0.227777777777778,3.78655035167224
"22","Khoshkbar","Rural",7210,4.10713384126753,6,0.2,0.821426768253506
"23","Mahi","Rural",5547,6.12860535842882,1,0.179032258064516,1.0972180561058
"24","Makarooni","Rural",14253,67.3871148040656,3.625,0.125,8.4233893505082
"25","Mast","Rural",10270,21.8189520540814,1.2,0.0521052631578947,1.1368822386074
"26","Mive","Rural",16978,121.248882120944,0.504716981132076,0.00518867924528302,0.62912155817471
"27","Morgh","Rural",16749,51.4883201965035,2,0.179032258064516,9.21807022872886
"28","Nan","Rural",16132,278.132202030663,2.834375,0.0890625,24.7711492433559
"29","Panir","Rural",13995,7.89011441425553,2.5,0.0521052631578947,0.411116487900683
"30","Roghan","Rural",16657,32.8646315270443,9,0,0
"31","Sabzi","Rural",17844,128.920673814447,0.280701754385965,0.0140350877192982,1.8094129658168
"32","Shir","Rural",12619,72.0015952288134,0.6,0.0521052631578947,3.75166206718554
"33","Sibzamini","Rural",17238,55.0559202262994,0.808823529411765,0.0235294117647059,1.2954334170894
"34","Tokhmemorgh","Rural",17264,16.0573106211397,1.28,0.104,1.66996030459853
