"","FoodType","ProvinceCode","N","Average_New","KCalories","Protein","Average_Protein"
"1","Berenj",0,100,28.1833221770959,2.4,0.09,2.53649899593863
"2","Ghand",0,310,32.218156158088,4,0.03,0.966544684742639
"3","Goosht",0,130,7.05715411860807,2.5,0.225,1.58785967668682
"4","Hoboobat",0,167,10.2448834378835,3,0.1,1.02448834378835
"5","Khoshkbar",0,93,2.42383381485689,6,0.2,0.484766762971379
"6","Mahi",0,115,2.08678119065477,1,0.22,0.45909186194405
"7","Makarooni",0,307,32.9093191947454,3.6,0.0642857142857143,2.11559909109078
"8","Mast",0,217,25.7651212743236,1.5,0.04,1.03060485097294
"9","Mive",0,339,156.371179455296,0.5,0,0
"10","Morgh",0,273,37.8144976157784,2,0.22,8.31918947547125
"11","Nan",0,390,343.455795504675,2.5,0.10125,34.7748992948484
"12","Panir",0,365,14.6067753849062,2.5,0.333333333333333,4.86892512830207
"13","Roghan",0,309,32.2022372484122,8,0,0
"14","Sabzi",0,381,153.13175958524,0.5,0.04,6.12527038340962
"15","Shir",0,240,52.2126524834525,2.5,0.0321428571428571,1.67826382982526
"16","Sibzamini",0,361,60.071499230404,0.9,0.03,1.80214497691212
"17","Tokhmemorgh",0,374,22.5307113894322,1.4,0.0882352941176471,1.98800394612637
"18","Berenj",1,64,20.4398022056248,2.4,0.09,1.83958219850623
"19","Ghand",1,352,26.0238241156356,4,0.03,0.780714723469069
"20","Goosht",1,82,2.80886379599996,2.5,0.225,0.631994354099992
"21","Hoboobat",1,189,9.52081023992713,3,0.1,0.952081023992713
"22","Khoshkbar",1,176,3.23687366205175,6,0.2,0.647374732410349
"23","Mahi",1,91,5.07238762504044,1,0.22,1.1159252775089
"24","Makarooni",1,221,13.9547928147119,3.6,0.0642857142857143,0.897093823802906
"25","Mast",1,303,28.3782189245599,1.5,0.04,1.1351287569824
"26","Mive",1,364,152.41845349089,0.5,0,0
"27","Morgh",1,367,66.7748372102757,2,0.22,14.6904641862606
"28","Nan",1,419,444.962965501569,2.5,0.10125,45.0525002570338
"29","Panir",1,349,9.91492167064071,2.5,0.333333333333333,3.30497389021357
"30","Roghan",1,362,28.5852930620847,8,0,0
"31","Sabzi",1,413,168.587057680861,0.5,0.04,6.74348230723444
"32","Shir",1,271,39.2406011543572,2.5,0.0321428571428571,1.26130503710434
"33","Sibzamini",1,396,87.0485948595117,0.9,0.03,2.61145784578535
"34","Tokhmemorgh",1,374,19.5480040193938,1.4,0.0882352941176471,1.72482388406415
"35","Berenj",2,15,6.7672587646994,2.4,0.09,0.609053288822946
"36","Ghand",2,181,27.2461113337869,4,0.03,0.817383340013608
"37","Goosht",2,60,3.97596336590405,2.5,0.225,0.894591757328412
"38","Hoboobat",2,151,14.5477408941085,3,0.1,1.45477408941085
"39","Khoshkbar",2,86,3.83239870941216,6,0.2,0.766479741882432
"40","Mahi",2,19,2.41818830017852,1,0.22,0.532001426039275
"41","Makarooni",2,158,18.7788318562917,3.6,0.0642857142857143,1.20721061933304
"42","Mast",2,164,45.678672506409,1.5,0.04,1.82714690025636
"43","Mive",2,200,144.085078973586,0.5,0,0
"44","Morgh",2,178,55.8148837694107,2,0.22,12.2792744292704
"45","Nan",2,214,407.081366662754,2.5,0.10125,41.2169883746038
"46","Panir",2,168,9.41046609340725,2.5,0.333333333333333,3.13682203113575
"47","Roghan",2,185,28.2921588325763,8,0,0
"48","Sabzi",2,205,166.506146222829,0.5,0.04,6.66024584891317
"49","Shir",2,147,51.8960121027283,2.5,0.0321428571428571,1.66808610330198
"50","Sibzamini",2,192,70.6752244653612,0.9,0.03,2.12025673396084
"51","Tokhmemorgh",2,200,20.6823107712541,1.4,0.0882352941176471,1.82490977393418
"52","Berenj",3,137,37.6970606210351,2.4,0.09,3.39273545589316
"53","Ghand",3,277,30.1931730348677,4,0.03,0.90579519104603
"54","Goosht",3,96,6.09033272461669,2.5,0.225,1.37032486303875
"55","Hoboobat",3,107,8.5156088541678,3,0.1,0.85156088541678
"56","Khoshkbar",3,134,3.76369411128441,6,0.2,0.752738822256882
"57","Mahi",3,74,2.07684591424275,1,0.22,0.456906101133405
