"","FoodType","Region","N","Average_New","KCalories","Protein","Average_Protein"
"1","Berenj","Urban",2597,43.6536681793525,3.56,0.069,3.01210310437532
"2","Ghand","Urban",5124,31.0452777217734,3.87878787878788,0,0
"3","Goosht","Urban",1707,5.00087762087659,2.79411764705882,0.141176470588235,0.706006252359048
"4","Hoboobat","Urban",3317,13.1770960978756,3.5,0.227777777777778,3.00144966673833
"5","Khoshkbar","Urban",1952,3.42816833505299,6,0.2,0.685633667010597
"6","Mahi","Urban",1482,3.38669085339224,1,0.179032258064516,0.606326910849256
"7","Makarooni","Urban",4383,21.7386857286763,3.625,0.125,2.71733571608454
"8","Mast","Urban",4558,36.6900096391823,1.2,0.0521052631578947,1.91174260751529
"9","Mive","Urban",5622,147.857964640021,0.504716981132076,0.00518867924528302,0.767187552377469
"10","Morgh","Urban",5154,47.941963253487,2,0.179032258064516,8.58315793731783
"11","Nan","Urban",6163,358.773130871334,2.834375,0.0890625,31.9532319682282
"12","Panir","Urban",5179,11.3213997573146,2.5,0.0521052631578947,0.589904513670604
"13","Roghan","Urban",5290,30.7970405954052,9,0,0
"14","Sabzi","Urban",6030,153.439029173201,0.280701754385965,0.0140350877192982,2.15353023400984
"15","Shir","Urban",4217,65.9467647330888,0.6,0.0521052631578947,3.43617353082936
"16","Sibzamini","Urban",5791,64.4578429564635,0.808823529411765,0.0235294117647059,1.51665512838738
"17","Tokhmemorgh","Urban",5715,20.5915319543809,1.28,0.104,2.14151932325562
"18","Berenj","Rural",2391,41.9882225984598,3.56,0.069,2.89718735929373
"19","Ghand","Rural",4526,37.230657176585,3.87878787878788,0,0
"20","Goosht","Rural",1005,3.27082174747548,2.79411764705882,0.141176470588235,0.461763070231832
"21","Hoboobat","Rural",3110,14.000328404079,3.5,0.227777777777778,3.18896369204023
"22","Khoshkbar","Rural",1549,2.60305992118458,6,0.2,0.520611984236915
"23","Mahi","Rural",1055,4.17473944184276,1,0.179032258064516,0.747413029104106
"24","Makarooni","Rural",3865,75.440411433927,3.625,0.125,9.43005142924087
"25","Mast","Rural",2936,25.1454869045655,1.2,0.0521052631578947,1.31021221239578
"26","Mive","Rural",4486,112.925478935725,0.504716981132076,0.00518867924528302,0.585934088817443
"27","Morgh","Rural",4450,50.2503477522844,2,0.179032258064516,8.99643322661866
"28","Nan","Rural",4597,349.698149999026,2.834375,0.0890625,31.1449914842882
"29","Panir","Rural",3900,8.90306349498171,2.5,0.0521052631578947,0.463896466317468
"30","Roghan","Rural",4418,31.9543013166666,9,0,0
"31","Sabzi","Rural",5063,140.722259218427,0.280701754385965,0.0140350877192982,1.97504925218845
"32","Shir","Rural",2946,55.5864342357246,0.6,0.0521052631578947,2.89634578386144
"33","Sibzamini","Rural",4849,63.3472267690946,0.808823529411765,0.0235294117647059,1.49052298280223
"34","Tokhmemorgh","Rural",4783,18.826813183249,1.28,0.104,1.9579885710579
