,FoodType,U96,U97,R96,R97,,97,96
1,Berenj,48.5,43.7,44.8,42.0,,-4.8,-2.8
2,Ghand,31.6,31.0,35.0,37.2,,-0.6,2.2
3,Goosht,6.8,5.0,4.1,3.3,,-1.8,-0.8
4,Hoboobat,13.0,13.2,12.4,14.0,,0.1,1.6
5,Khoshkbar,4.4,3.4,2.7,2.6,,-0.9,-0.1
6,Mahi,5.3,3.4,5.0,4.2,,-1.9,-0.8
7,Makarooni,22.4,21.7,73.2,75.4,,-0.7,2.3
8,Mast,38.1,36.7,24.4,25.1,,-1.4,0.8
9,Mive,166.0,147.9,122.3,112.9,,-18.2,-9.4
10,Morgh,47.6,47.9,50.5,50.3,,0.3,-0.3
11,Nan,329.5,358.8,316.5,349.7,,29.3,33.2
12,Panir,10.8,11.3,8.3,8.9,,0.5,0.6
13,Roghan,31.8,30.8,31.9,32.0,,-1.0,0.1
14,Sabzi,155.1,153.4,136.8,140.7,,-1.7,3.9
15,Shir,63.3,65.9,55.8,55.6,,2.6,-0.2
16,Sibzamini,60.3,64.5,59.3,63.3,,4.2,4.0
17,Tokhmemorgh,20.1,20.6,18.3,18.8,,0.5,0.5
