"","Region","NewArea","NewArea2","Decile","N","Max","Min","Mean"
"1","Rural",13,"Hamedan","1",131,2852647.05882353,385294.117647059,2075285.61603837
"2","Rural",19,"Zanjan","1",102,3324415.625,537425,2443198.75972972
"3","Rural",11,"Sistan","1",321,2259090.90909091,537500,1552446.9019679
"4","Urban",11,"Sistan","1",172,2407195.12195122,543703.703703704,1847357.93601918
"5","Rural",4,"Az_Gharbi","1",118,2985322.58064516,550000,2348263.84440243
"6","Urban",3,"Az_Sharghi","1",22,2893275.86206897,630000,2222476.44564367
"7","Rural",10,"Esfahan","1",82,3280625,635294.117647059,2658932.79147473
"8","Urban",7,"Fars","1",35,3325806.4516129,642823.529411765,2656663.30528492
"9","Rural",27,"Golestan","1",106,2547358.49056604,740000,2068239.42941688
"10","Rural",16,"Ilam","1",53,2675681.81818182,850000,2206713.65630842
"11","Urban",29,"Khorasan_Jonoobi","1",83,2830370.37037037,918235.294117647,2304100.53670481
"12","Urban",13,"Hamedan","1",27,2732352.94117647,922000,2080411.45285934
"13","Rural",8,"Kerman","1",168,2500625,930526.315789474,2073069.61609101
"14","Rural",29,"Khorasan_Jonoobi","1",236,2626000,941176.470588235,2060462.07916756
"15","Rural",23,"Tehran","1",28,3499756.09756098,942000,2975790.5447704
"16","Rural",14,"Chaharmahal","1",78,3528333.33333333,983333.333333333,2854331.05016369
"17","Urban",4,"Az_Gharbi","1",22,2796551.72413793,1004000,2105802.66609035
"18","Rural",22,"Hormozgan","1",141,3263870.96774194,1007179.74358974,2366530.74053852
"19","Rural",6,"Khoozestan","1",71,2777307.69230769,1008333.33333333,2319000.78571885
"20","Rural",3,"Az_Sharghi","1",135,3223977.27272727,1044117.64705882,2511150.54919974
"21","Urban",19,"Zanjan","1",28,3000861.11111111,1069110,2327572.02782248
"22","Urban",1,"Gilan","1",34,3448088.23529412,1106250,2771411.68678324
"23","Rural",1,"Gilan","1",74,3188333.33333333,1131000,2508889.54923507
"24","Rural",12,"Kordestan","1",50,3209534.88372093,1133000,2565681.06573015
"25","Urban",0,"Markazi","1",32,3429411.76470588,1146774.19354839,2838608.114088
"26","Rural",9,"Khorasan_Razavi","1",133,2983843.75,1152482.75862069,2433626.8650729
"27","Urban",27,"Golestan","1",86,2911081.08108108,1160882.35294118,2402912.23300426
"28","Rural",0,"Markazi","1",198,3880000,1193750,2927266.48124014
"29","Rural",21,"Yazd","1",63,3388382.35294118,1207500,2727655.05740926
"30","Rural",20,"Semnan","1",57,2625000,1215000,2162824.92762039
"31","Urban",6,"Khoozestan","1",30,3072222.22222222,1238636.36363636,2569051.91220552
"32","Rural",25,"Ghom","1",76,3018500,1245431.03448276,2450271.05785414
"33","Urban",16,"Ilam","1",21,2891166.66666667,1252941.17647059,2397614.83827243
"34","Rural",24,"Ardebil","1",91,3526129.03225806,1255882.35294118,2745910.87214332
"35","Urban",401,"Sh_Urmia","1",2,2748627.45098039,1297058.82352941,2022843.1372549
"36","Urban",1105,"Sh_Zahedan","1",28,3004390.24390244,1300000,2294249.17894251
"37","Urban",21,"Yazd","1",34,3425191.03448276,1303703.7037037,2606745.75176073
"38","Rural",15,"Lorestan","1",56,2347205.88235294,1335500,2020996.32233038
"39","Rural",2,"Mazandaran","1",27,3370900,1360000,2707463.24926398
"40","Rural",17,"Kohkilooye","1",146,3930000,1369487.17948718,3093098.13165036
"41","Urban",8,"Kerman","1",49,2659655.17241379,1410600,2260720.38729546
"42","Rural",7,"Fars","1",126,3155555.55555556,1451388.88888889,2571432.48845213
"43","Urban",2202,"Sh_Bandarabas","1",36,3873750,1522619.04761905,3182025.39336329
"44","Urban",14,"Chaharmahal","1",78,4138333.33333333,1538400,3492294.23963376
"45","Rural",28,"Khorasan_Shomali","1",110,2801000,1567741.93548387,2381985.62386979
"46","Urban",25,"Ghom","1",45,3454111.11111111,1573000,2962965.29352155
"47","Urban",20,"Semnan","1",14,2579310.34482759,1575980.39215686,2179347.36975309
"48","Rural",30,"Alborz","1",26,3886827.5862069,1579613.20754717,3264854.39668345
"49","Urban",15,"Lorestan","1",23,2747647.05882353,1639750,2417393.87394356
"50","Urban",24,"Ardebil","1",38,3243414.63414634,1663000,2615991.26340706
"51","Urban",9,"Khorasan_Razavi","1",25,3133636.36363636,1675555.55555556,2624679.97326231
"52","Urban",3001,"Sh_Karaj","1",8,4300581.39534884,1691764.70588235,3580402.7387874
"53","Rural",26,"Ghazvin","1",39,3136764.70588235,1707000,2718883.87329722
"54","Urban",2105,"Sh_Yazd","1",12,3593536.58536585,1754000,2836620.68670848
"55","Rural",5,"Kermanshah","1",26,2697000,1757352.94117647,2341707.46036086
"56","Urban",10,"Esfahan","1",10,3177592.59259259,1757741.93548387,2715305.66313036
"57","Urban",22,"Hormozgan","1",84,3886044.44444444,1792187.5,3092268.58176693
"58","Urban",5,"Kermanshah","1",13,2973580.64516129,1815865.38461538,2651655.43387129
"59","Urban",303,"Sh_Tabriz","1",12,3252560.97560976,1823548.38709677,2693931.50794389
"60","Rural",18,"Booshehr","1",55,3179166.66666667,1849705.88235294,2700742.21996746
"61","Urban",28,"Khorasan_Shomali","1",23,2795000,1886764.70588235,2439827.97919863
"62","Urban",916,"Sh_Mashhad","1",26,3550000,1912500,2916901.85727499
"63","Urban",12,"Kordestan","1",21,3268152.63157895,1933064.51612903,2803679.44392504
"64","Urban",808,"Sh_Kerman","1",15,3878378.37837838,1978684.21052632,3178373.84561698
"65","Urban",18,"Booshehr","1",29,3312500,1987407.40740741,2844771.09912515
"66","Urban",105,"Sh_Rasht","1",9,3728636.36363636,2035000,3046754.14083436
"67","Urban",1002,"Sh_Esfahan","1",10,3964705.88235294,2094772.72727273,3389146.33983513
"68","Urban",707,"Sh_Shiraz","1",2,3667111.11111111,2223333.33333333,2945222.22222222
"69","Urban",1,"Sh_Arak","1",6,3881612.90322581,2261176.47058824,3262088.81264434
"70","Rural",11,"Sistan","2",100,2808500,2263571.42857143,2552089.74776974
"71","Urban",17,"Kohkilooye","1",14,3642857.14285714,2290588.23529412,3050395.92428716
"72","Rural",15,"Lorestan","2",78,2913097.56097561,2353529.41176471,2649961.04340492
"73","Urban",603,"Sh_Ahvaz","1",21,4697916.66666667,2379687.5,3525661.55010538
"74","Urban",1304,"Sh_Hamedan","1",6,3381481.48148148,2394067.79661017,3032691.5713123
"75","Urban",11,"Sistan","2",88,2987407.40740741,2411764.70588235,2652574.54297984
"76","Urban",502,"Sh_Kermanshah","1",5,3290208.33333333,2498155.55555556,2995970.22767827
"77","Rural",8,"Kerman","2",110,3105185.18518519,2513541.66666667,2791501.93272315
"78","Rural",27,"Golestan","2",86,3171176.47058824,2562083.33333333,2872251.49806181
"79","Rural",29,"Khorasan_Jonoobi","2",119,3264218.75,2632000,2978143.56632586
"80","Urban",20,"Semnan","2",14,3230000,2636764.70588235,2910960.17913544
"81","Rural",20,"Semnan","2",68,3293103.44827586,2653529.41176471,3010992.49415581
"82","Urban",26,"Ghazvin","1",4,3275681.81818182,2662948.71794872,2908813.52483723
"83","Urban",8,"Kerman","2",60,3324473.68421053,2676842.10526316,2990187.17660911
"84","Rural",16,"Ilam","2",87,3321935.48387097,2682352.94117647,3015158.4390949
"85","Urban",13,"Hamedan","2",38,3399583.33333333,2753421.05263158,3028242.13770502
"86","Rural",5,"Kermanshah","2",49,3416818.18181818,2764300,3113078.80926818
"87","Urban",15,"Lorestan","2",31,3425625,2772865.85365854,3079957.61409419
"88","Rural",6,"Khoozestan","2",109,3450000,2788888.88888889,3131231.97822374
"89","Rural",28,"Khorasan_Shomali","2",116,3484090.90909091,2808977.77777778,3184194.86979817
"90","Urban",2,"Mazandaran","1",10,3223172.4137931,2812903.22580645,2976194.7960642
"91","Urban",2301,"Sh_Tehran","1",69,7366413.79310345,2813621.62162162,5992179.55019983
"92","Rural",11,"Sistan","3",77,3251851.85185185,2823529.41176471,3033839.48064906
"93","Urban",28,"Khorasan_Shomali","2",45,3492609.62962963,2833100,3222966.40609685
"94","Urban",29,"Khorasan_Jonoobi","2",79,3522777.77777778,2843125,3172592.29145801
"95","Rural",13,"Hamedan","2",80,3536451.61290323,2862500,3192673.94511131
"96","Urban",4,"Az_Gharbi","2",31,3522708.33333333,2879545.45454545,3238788.86435693
"97","Urban",23,"Tehran","1",15,3690000,2880000,3407687.80502315
"98","Urban",27,"Golestan","2",84,3620588.23529412,2924827.5862069,3296041.46761858
"99","Urban",16,"Ilam","2",29,3593647.05882353,2926562.5,3278746.23474443
"100","Urban",3,"Az_Sharghi","2",28,3618461.53846154,2938148.14814815,3308815.68622339
"101","Rural",15,"Lorestan","3",70,3389814.81481481,2943289.47368421,3177868.23458592
"102","Rural",4,"Az_Gharbi","2",88,3711111.11111111,2994545.45454545,3350602.87072372
"103","Rural",9,"Khorasan_Razavi","2",133,3721500,2996363.63636364,3356372.5251881
"104","Urban",11,"Sistan","3",50,3468888.88888889,3e+06,3237294.84302803
