,Region,NewArea,NewArea2,Decile,N,Mean
25,Urban,0,Markazi,1,32,907179.9488
22,Urban,1,Gilan,1,34,523689.3067
69,Urban,1,Sh_Arak,1,6,481448.9352
90,Urban,2,Mazandaran,1,10,554659.3771
6,Urban,3,Az_Sharghi,1,22,599488.4789
17,Urban,4,Az_Gharbi,1,22,188344.0202
58,Urban,5,Kermanshah,1,13,259180.4936
31,Urban,6,Khoozestan,1,30,666599.0861
8,Urban,7,Fars,1,35,493649.3546
41,Urban,8,Kerman,1,49,223261.0733
51,Urban,9,Khorasan_Razavi,1,25,664387.0676
56,Urban,10,Esfahan,1,10,652420.7101
4,Urban,11,Sistan,1,172,167725.6468
63,Urban,12,Kordestan,1,21,884379.0213
12,Urban,13,Hamedan,1,27,241947.8151
44,Urban,14,Chaharmahal,1,78,810632.6997
49,Urban,15,Lorestan,1,23,440569.6767
33,Urban,16,Ilam,1,21,184383.8956
71,Urban,17,Kohkilooye,1,14,513604.5824
65,Urban,18,Booshehr,1,29,305091.404
21,Urban,19,Zanjan,1,28,361367.0027
47,Urban,20,Semnan,1,14,151347.9199
37,Urban,21,Yazd,1,34,1026442.467
57,Urban,22,Hormozgan,1,84,590600.4848
97,Urban,23,Tehran,1,15,94291.79142
50,Urban,24,Ardebil,1,38,685172.2925
46,Urban,25,Ghom,1,45,537609.2828
82,Urban,26,Ghazvin,1,4,468082.7668
27,Urban,27,Golestan,1,86,585552.6246
61,Urban,28,Khorasan_Shomali,1,23,704776.1393
11,Urban,29,Khorasan_Jonoobi,1,83,575772.0484
196,Urban,30,Alborz,1,1,95583.33333
66,Urban,105,Sh_Rasht,1,9,404176.7917
59,Urban,303,Sh_Tabriz,1,12,1404377.485
35,Urban,401,Sh_Urmia,1,2,239114.5833
76,Urban,502,Sh_Kermanshah,1,5,234113.8889
73,Urban,603,Sh_Ahvaz,1,21,488543.1204
68,Urban,707,Sh_Shiraz,1,2,433600.1376
64,Urban,808,Sh_Kerman,1,15,465297.0907
62,Urban,916,Sh_Mashhad,1,26,612014.9698
67,Urban,1002,Sh_Esfahan,1,10,541168.987
36,Urban,1105,Sh_Zahedan,1,28,342609.7913
74,Urban,1304,Sh_Hamedan,1,6,761160.3849
54,Urban,2105,Sh_Yazd,1,12,960516.7464
43,Urban,2202,Sh_Bandarabas,1,36,1896367.736
91,Urban,2301,Sh_Tehran,1,69,1379313.473
52,Urban,3001,Sh_Karaj,1,8,443115.4016
28,Rural,0,Markazi,1,198,493084.8151
23,Rural,1,Gilan,1,74,250824.3728
39,Rural,2,Mazandaran,1,27,426945.7047
20,Rural,3,Az_Sharghi,1,135,767189.4419
5,Rural,4,Az_Gharbi,1,118,172956.3105
55,Rural,5,Kermanshah,1,26,266883.5809
19,Rural,6,Khoozestan,1,71,320843.3384
42,Rural,7,Fars,1,126,586986.5628
13,Rural,8,Kerman,1,168,321375.6724
26,Rural,9,Khorasan_Razavi,1,133,465778.5688
7,Rural,10,Esfahan,1,82,532437.6512
3,Rural,11,Sistan,1,321,97970.80818
24,Rural,12,Kordestan,1,50,245220.1349
1,Rural,13,Hamedan,1,131,296548.7107
16,Rural,14,Chaharmahal,1,78,590474.0481
38,Rural,15,Lorestan,1,56,338420.8881
10,Rural,16,Ilam,1,53,360027.5837
40,Rural,17,Kohkilooye,1,146,237184.7785
60,Rural,18,Booshehr,1,55,581989.4016
2,Rural,19,Zanjan,1,102,717837.2859
30,Rural,20,Semnan,1,57,391270.1504
29,Rural,21,Yazd,1,63,1090838.494
18,Rural,22,Hormozgan,1,141,357413.2565
15,Rural,23,Tehran,1,28,232315.8218
34,Rural,24,Ardebil,1,91,697886.2531
32,Rural,25,Ghom,1,76,489151.5298
53,Rural,26,Ghazvin,1,39,876074.6115
9,Rural,27,Golestan,1,106,508333.4381
45,Rural,28,Khorasan_Shomali,1,110,358428.1679
14,Rural,29,Khorasan_Jonoobi,1,236,336396.5287
48,Rural,30,Alborz,1,26,320391.7028
142,Urban,0,Markazi,2,40,1937625.8
151,Urban,1,Gilan,2,45,580599.3401
185,Urban,1,Sh_Arak,2,12,842520.0856
150,Urban,2,Mazandaran,2,17,1450866.5
100,Urban,3,Az_Sharghi,2,28,1622920.458
96,Urban,4,Az_Gharbi,2,31,369371.6271
107,Urban,5,Kermanshah,2,22,492916.1775
109,Urban,6,Khoozestan,2,55,776475.2324
131,Urban,7,Fars,2,35,1051786.545
83,Urban,8,Kerman,2,60,761362.7593
114,Urban,9,Khorasan_Razavi,2,35,965285.2511
117,Urban,10,Esfahan,2,22,817742.3683
75,Urban,11,Sistan,2,88,316536.0694
147,Urban,12,Kordestan,2,26,842648.3137
85,Urban,13,Hamedan,2,38,473139.0055
224,Urban,14,Chaharmahal,2,77,1242891.867
87,Urban,15,Lorestan,2,31,950833.4464
99,Urban,16,Ilam,2,29,568649.2955
165,Urban,17,Kohkilooye,2,34,627039.8535
134,Urban,18,Booshehr,2,38,1205951.09
105,Urban,19,Zanjan,2,24,1173350.62
80,Urban,20,Semnan,2,14,791886.7598
141,Urban,21,Yazd,2,42,1629584.398
190,Urban,22,Hormozgan,2,72,1380711.444
166,Urban,23,Tehran,2,51,517285.7189
126,Urban,24,Ardebil,2,58,984164.0726
145,Urban,25,Ghom,2,48,832477.2895
136,Urban,26,Ghazvin,2,23,866783.4208
98,Urban,27,Golestan,2,84,809945.3528
93,Urban,28,Khorasan_Shomali,2,45,618858.5979
94,Urban,29,Khorasan_Jonoobi,2,79,844978.4776
249,Urban,30,Alborz,2,3,346786.5917
182,Urban,105,Sh_Rasht,2,11,809673.3027
124,Urban,303,Sh_Tabriz,2,20,1504430.948
128,Urban,401,Sh_Urmia,2,4,915841.1293
153,Urban,502,Sh_Kermanshah,2,10,696204.1667
281,Urban,603,Sh_Ahvaz,2,19,1248132.542
177,Urban,707,Sh_Shiraz,2,6,1175783.18
211,Urban,808,Sh_Kerman,2,9,887918.7828
159,Urban,916,Sh_Mashhad,2,26,907055.8493
208,Urban,1002,Sh_Esfahan,2,12,1997364.106
108,Urban,1105,Sh_Zahedan,2,13,643190.9893
143,Urban,1304,Sh_Hamedan,2,20,1270662.128
173,Urban,2105,Sh_Yazd,2,11,842160.3856
202,Urban,2202,Sh_Bandarabas,2,20,1370966.863
542,Urban,2301,Sh_Tehran,2,63,1674410.58
257,Urban,3001,Sh_Karaj,2,17,669733.4137
183,Rural,0,Markazi,2,126,907634.2881
116,Rural,1,Gilan,2,56,456716.125
138,Rural,2,Mazandaran,2,49,1050991.744
118,Rural,3,Az_Sharghi,2,110,1366111.003
102,Rural,4,Az_Gharbi,2,88,327786.7722
86,Rural,5,Kermanshah,2,49,529080.0782
88,Rural,6,Khoozestan,2,109,656405.5054
111,Rural,7,Fars,2,116,886473.3561
77,Rural,8,Kerman,2,110,264347.1824
103,Rural,9,Khorasan_Razavi,2,133,618306.3801
125,Rural,10,Esfahan,2,94,739919.7635
70,Rural,11,Sistan,2,100,88544.4242
119,Rural,12,Kordestan,2,48,861094.2131
95,Rural,13,Hamedan,2,80,495802.3547
156,Rural,14,Chaharmahal,2,98,741033.7606
72,Rural,15,Lorestan,2,78,482992.0979
84,Rural,16,Ilam,2,87,305019.749
192,Rural,17,Kohkilooye,2,118,364856.7784
115,Rural,18,Booshehr,2,64,917014.1499
132,Rural,19,Zanjan,2,85,1210197.504
81,Rural,20,Semnan,2,68,485721.7266
135,Rural,21,Yazd,2,53,1128920.049
122,Rural,22,Hormozgan,2,85,405060.0567
152,Rural,23,Tehran,2,52,481983.7201
155,Rural,24,Ardebil,2,89,899792.7085
106,Rural,25,Ghom,2,57,614447.5338
112,Rural,26,Ghazvin,2,43,1503788.214
78,Rural,27,Golestan,2,86,637681.5355
89,Rural,28,Khorasan_Shomali,2,116,571783.0492
79,Rural,29,Khorasan_Jonoobi,2,119,535875.5736
187,Rural,30,Alborz,2,27,1196022.038
231,Urban,0,Markazi,3,36,1748686.759
241,Urban,1,Gilan,3,51,1178636.377
297,Urban,1,Sh_Arak,3,13,1064439.62
233,Urban,2,Mazandaran,3,20,1323979.762
163,Urban,3,Az_Sharghi,3,22,1506205.375
158,Urban,4,Az_Gharbi,3,36,370500.1802
179,Urban,5,Kermanshah,3,19,573879.7842
180,Urban,6,Khoozestan,3,46,946725.1578
219,Urban,7,Fars,3,33,1168511.661
130,Urban,8,Kerman,3,62,653861.729
191,Urban,9,Khorasan_Razavi,3,33,800917.3963
200,Urban,10,Esfahan,3,36,1183565.273
104,Urban,11,Sistan,3,50,718847.72
239,Urban,12,Kordestan,3,46,832309.285
137,Urban,13,Hamedan,3,54,833849.7951
335,Urban,14,Chaharmahal,3,75,1341559.618
140,Urban,15,Lorestan,3,36,839265.5624
162,Urban,16,Ilam,3,31,854214.6236
263,Urban,17,Kohkilooye,3,49,987503.5641
218,Urban,18,Booshehr,3,49,736485.038
172,Urban,19,Zanjan,3,45,1165166.105
123,Urban,20,Semnan,3,27,1187475.413
232,Urban,21,Yazd,3,38,2264403.39
301,Urban,22,Hormozgan,3,54,1254614.988
268,Urban,23,Tehran,3,56,473133.5878
210,Urban,24,Ardebil,3,52,1076764.222
235,Urban,25,Ghom,3,51,1203690.593
217,Urban,26,Ghazvin,3,22,1724872.256
161,Urban,27,Golestan,3,92,1697132.487
149,Urban,28,Khorasan_Shomali,3,42,648038.5967
154,Urban,29,Khorasan_Jonoobi,3,71,1078815.061
329,Urban,30,Alborz,3,5,789438.5398
292,Urban,105,Sh_Rasht,3,9,1531298.757
