"","Year","Exp","ProvinceCode"
"1",84,1377990.13076105,0
"2",84,1482321.66748221,1
"3",84,1996164.86308066,2
"4",84,1481677.85547383,3
"5",84,1596847.18374466,4
"6",84,1157960.81136431,5
"7",84,1254436.78288164,6
"8",84,1801743.95644173,7
"9",84,1383559.46095398,8
"10",84,1477538.66689209,9
"11",84,1892117.21575524,10
"12",84,883498.24962776,11
"13",84,1307931.98685938,12
"14",84,1236784.08201435,13
"15",84,1120522.54589515,14
"16",84,1332170.96173456,15
"17",84,1633237.96162799,16
"18",84,1213945.20918354,17
"19",84,1595868.39056393,18
"20",84,1202833.5091529,19
"21",84,1334088.22887883,20
"22",84,1303995.18820299,21
"23",84,1642066.57796354,22
"24",84,2549738.09724134,23
"25",84,1735143.08383593,24
"26",84,1335709.39275972,25
"27",84,1887922.34847977,26
"28",84,1141087.12262064,27
"29",84,889564.683777099,28
"30",84,1091610.96750522,29
"31",85,1550455.01055442,0
"32",85,1940908.86156494,1
"33",85,2399176.13447047,2
"34",85,1749312.5183375,3
"35",85,1858554.49403955,4
"36",85,1516663.05103613,5
"37",85,1459479.55072225,6
"38",85,1749055.75884919,7
"39",85,1482058.53699652,8
"40",85,1584573.72818696,9
"41",85,2273890.45488336,10
"42",85,951174.929980931,11
"43",85,1264837.84884263,12
"44",85,1341492.10587968,13
"45",85,1575451.97608142,14
"46",85,1573352.09141205,15
"47",85,1824073.70784251,16
"48",85,1349940.4194636,17
"49",85,1718301.15603358,18
"50",85,1441407.40948629,19
"51",85,1544644.57453655,20
"52",85,1562582.68293767,21
"53",85,2004293.42263686,22
"54",85,2951470.5444906,23
"55",85,1818099.87282227,24
"56",85,1520422.72970287,25
"57",85,2173277.08284402,26
"58",85,1314271.51376021,27
"59",85,1055144.48646006,28
"60",85,1173323.17149405,29
"61",86,2115661.40809691,0
"62",86,2530890.90222703,1
"63",86,2764800.67623799,2
"64",86,1979446.88896338,3
"65",86,2300036.05361264,4
"66",86,1906191.69313848,5
"67",86,1661718.2685978,6
"68",86,2230776.13873645,7
"69",86,1685048.89551527,8
"70",86,2216359.86081916,9
"71",86,2784167.65763601,10
"72",86,989853.546080754,11
"73",86,1569616.28552462,12
"74",86,1791200.84160367,13
"75",86,1518592.33269605,14
"76",86,1655690.68110979,15
"77",86,2097421.78370538,16
"78",86,1736123.19389821,17
"79",86,2122681.30833518,18
"80",86,1878447.12365365,19
"81",86,1756262.90288146,20
"82",86,2040588.91563808,21
