,Percentile_Nominal,Region,Total_Exp_Month_Per_nondurable,tenure,HActivityState,Car,,
77,1,Urban,1750426.555,0.592543182,0.425223365,0.090070617,,175042.6555
54,2,Urban,2343392.829,0.541005301,0.57138415,0.148755848,,234339.2829
64,3,Urban,2639119.431,0.56077052,0.598086848,0.186095132,,263911.9431
95,4,Urban,2863532.83,0.613537284,0.575355378,0.213746595,,286353.283
98,5,Urban,3050832.53,0.643371806,0.682894122,0.281706585,,305083.253
90,6,Urban,3228725.07,0.615754679,0.674663807,0.22179989,,322872.507
86,7,Urban,3360529.663,0.661697846,0.635767378,0.332115972,,336052.9663
53,8,Urban,3471178.582,0.62395816,0.715053799,0.334881242,,347117.8582
79,9,Urban,3586466.563,0.541238383,0.685697499,0.300978602,,358646.6563
74,10,Urban,3714168.664,0.626133578,0.701005449,0.217187848,,371416.8664
80,11,Urban,3817782.858,0.606461905,0.649156864,0.2524474,,381778.2858
31,12,Urban,3929491.331,0.602437441,0.691229013,0.398729489,,392949.1331
30,13,Urban,4051104.092,0.631063255,0.648009669,0.372401,,405110.4092
43,14,Urban,4142646.347,0.619303628,0.661356328,0.344192678,,414264.6347
56,15,Urban,4232194.729,0.578724564,0.766956418,0.40575116,,423219.4729
42,16,Urban,4325759.534,0.636678575,0.676929543,0.438053496,,432575.9534
93,17,Urban,4429731.825,0.624045005,0.572448481,0.334847022,,442973.1825
23,18,Urban,4525377.961,0.696430638,0.680949687,0.446594577,,452537.7961
94,19,Urban,4621828.529,0.576633823,0.733033551,0.383226225,,462182.8529
85,20,Urban,4710351.12,0.598662228,0.68823613,0.451328199,,471035.112
27,21,Urban,4797874.288,0.674213386,0.661052619,0.371091191,,479787.4288
61,22,Urban,4876998.683,0.639332841,0.711286089,0.35714157,,487699.8683
45,23,Urban,4955201.362,0.639689972,0.696954111,0.381067244,,495520.1362
52,24,Urban,5042721.732,0.692293951,0.749537018,0.429248569,,504272.1732
10,25,Urban,5139239.292,0.684877556,0.745323834,0.421348711,,513923.9292
78,26,Urban,5224095.431,0.655208629,0.649378007,0.423040012,,522409.5431
47,27,Urban,5309345.175,0.582329622,0.735632251,0.406103889,,530934.5175
65,28,Urban,5388264.383,0.646506965,0.731800766,0.461506786,,538826.4383
55,29,Urban,5460411.267,0.668919198,0.69362628,0.423393303,,546041.1267
88,30,Urban,5544428.371,0.657432284,0.740870357,0.427602827,,554442.8371
67,31,Urban,5626103.717,0.625941056,0.659873067,0.430542219,,562610.3717
8,32,Urban,5713706.566,0.682795639,0.659383691,0.44236845,,571370.6566
66,33,Urban,5795525.263,0.577897718,0.753834253,0.546682797,,579552.5263
32,34,Urban,5890419.7,0.606850442,0.702203426,0.495011787,,589041.97
68,35,Urban,5964935.278,0.639966532,0.690213359,0.482013666,,596493.5278
29,36,Urban,6041798.838,0.736783692,0.629043035,0.512214043,,604179.8838
59,37,Urban,6125718.502,0.561517301,0.761048212,0.465301868,,612571.8502
76,38,Urban,6217505.388,0.572453633,0.672298489,0.463153193,,621750.5388
