"","FoodType","N","Average_New","KCalories","Protein","Average_Protein"
"1","Berenj",24329,72.5152182607728,3.56,0.09,6.52636964346956
"2","Ghand",34684,38.1161597657883,4,0.03,1.14348479297365
"3","Goosht",18464,13.2235584718611,2.5,0.225,2.97530065616875
"4","Hoboobat",25343,17.9705819729237,3,0.1,1.79705819729237
"5","Khoshkbar",16329,5.90150250874801,6,0.2,1.1803005017496
"6","Mahi",13488,6.97119853919598,1,0.22,1.53366367862312
"7","Makarooni",29423,33.3378968447443,3.6,0.0642857142857143,2.14315051144785
"8","Mast",25763,31.6857865423236,1.2,0.04,1.26743146169294
"9","Mive",36262,163.140291055006,0.5,0,0
"10","Morgh",35103,55.4886045319596,2,0.22,12.2074929970311
"11","Nan",36080,299.002334760456,2.5,0.10125,30.2739863944962
"12","Panir",31638,10.0636431421947,2.5,0.333333333333333,3.35454771406491
"13","Roghan",35069,33.9363904656451,8,0,0
"14","Sabzi",37726,152.416841395406,0.5,0.04,6.09667365581624
"15","Shir",28205,74.3367609035269,0.6,0.0321428571428571,2.38939588618479
"16","Sibzamini",36443,58.9015467565925,0.9,0.03,1.76704640269778
"17","Tokhmemorgh",36499,18.7167820615824,1.4,0.0882352941176471,1.65148077013963
