"","HHID","ProvinceCode","HIndivNo","Region","Total_Exp_Month","Total_Exp_Month_nondurable","Size","EqSizeRevOECD","Weight","Decile","HSex","HEduLevel","HEduYears","HActivityState","Benzin_Exp","Transportation_Exp","Other_Exp","Benzin_Exp_Add","Mehr98","Yaraneh2","Yaraneh","BenzinP1","TransportationP1","Other_ExpP1","BenzinP2","TransportationP2","Other_ExpP2","BenzinShare","TransportationShare","Other_ExpShare","CV","Loss","Loss_Amount","taxicode","Win_Amount","Win_Share"
"1","10010009408",0,1,"Urban",4247763.66666667,3830000,3,2.4,318,1,"Male","Illiterate",0,"Income without Work",1e+05,0,4147763.66666667,0,187.9,1380000,1380000,1e+05,0,5688794.10924574,150000,0,7395432.34201947,0.0235417993672121,0,0.976458200632788,-1292963.58044679,0,NA,0,87036.4195532086,0.0204899392676214
"2","10101011608",1,1,"Urban",5818500,5520000,4,2.9,388,1,"Male","Illiterate",0,"Employed",0,150000,5668500,0,178,1720000,1720000,0,194890.510948905,7364912.40875912,0,216328.467153285,9574386.13138686,0,0.025779840164991,0.974220159835009,-1714801.8375499,0,NA,0,5198.1624500961,0.000893385314100903
"3","10104014805",1,1,"Urban",3335000,3260000,2,1.7,418,1,"Male","Illiterate",0,"Income without Work",0,150000,3185000,0,178,1030000,1030000,0,194890.510948905,4138175.18248175,0,216328.467153285,5379627.73722628,0,0.0449775112443778,0.955022488755622,-969798.39323157,0,NA,0,60201.6067684297,0.0180514563023777
"4","10108020502",1,1,"Urban",2537763.66666667,2505000,3,2.4,405,1,"Male","Primary",5,"Other",150000,0,2387763.66666667,0,178,1380000,1380000,150000,0,3102349.87347932,225000,0,4033054.83552311,0.0591071587832384,0,0.940892841216762,-789352.110735965,0,NA,0,590647.889264035,0.232743457171426
"5","10305042611",3,1,"Urban",3597166.66666667,2910500,3,2.4,1065,1,"Male","Primary",5,"Income without Work",0,0,3597166.66666667,0,189,1380000,1380000,0,0,4962514.59854015,0,0,6451268.97810219,0,0,1,-1079150,0,NA,0,300850,0.0836352684983552
"6","10307043708",3,1,"Urban",1012000,980000,1,1,1676,1,"Female","Illiterate",0,"Income without Work",0,0,1012000,0,189,550000,550000,0,0,1396116.78832117,0,0,1814951.82481752,0,0,1,-303600,0,NA,0,246400,0.243478260869565
"7","10307043814",3,1,"Urban",913333.333333333,630000,1,1,1676,1,"Female","Illiterate",0,"Income without Work",0,0,913333.333333333,0,189,550000,550000,0,0,1260000,0,0,1638000,0,0,1,-274000,0,NA,0,276000,0.302189781021898
"8","10401048905",4,1,"Urban",2205000,2205000,2,1.7,2362,1,"Male","Illiterate",0,"Employed",0,0,2205000,0,177,1030000,1030000,0,0,2848795.62043796,0,0,3703434.30656934,0,0,1,-661500,0,NA,0,368500,0.167120181405896
"9","10404051411",4,1,"Urban",3444166.66666667,2990000,2,1.7,769,1,"Male","Secondary",8,"Unemployed",0,1e+05,3344166.66666667,0,177,1030000,1030000,0,129197.080291971,4320565.69343066,0,143408.759124088,5616735.40145985,0,0.029034599564481,0.970965400435519,-1012756.49146201,0,NA,0,17243.5085379891,0.00500658365487223
"10","10404051417",4,1,"Urban",1486000,1271000,1,1,769,1,"Female","Illiterate",0,"Other",0,0,1486000,0,177,550000,550000,0,0,1919868.61313869,0,0,2495829.19708029,0,0,1,-445800,0,NA,0,104200,0.0701211305518169
"11","10405052105",4,1,"Urban",3400833.33333333,2965000,2,1.7,863,1,"Male","Secondary",12,"Unemployed",0,0,3400833.33333333,0,177,1030000,1030000,0,0,4393777.37226277,0,0,5711910.58394161,0,0,1,-1020250,0,NA,0,9749.99999999977,0.00286694437637827
"12","10410055711",4,1,"Urban",1219000,1004000,1,1,1126,1,"Female","Illiterate",0,"Other",0,0,1219000,0,177,550000,550000,0,0,1574912.40875912,0,0,2047386.13138686,0,0,1,-365700,0,NA,0,184300,0.151189499589828
