"","Decile","Year","Total_Exp_Month_Per","G01","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","G13"
"1","4",90,1057.32771504146,186.699478695563,0.684754874140397,3.11757447792609,42583.7859869834,9648.22777467626,36.8570245668817,180.094630052317,32043.3282259573,136536.343660844,43512.2975857654,140374.451950968,1366531.07994063
"2","5",90,1054.18099581615,176.625630545423,1.61829310326292,3.78421720582785,42331.7030757707,9350.7669658652,77.2053055581598,249.641193347128,35685.5542721572,152064.152295412,54157.3049452454,142436.042701663,1653074.614626
"3","7",90,1077.16195514122,228.187383076601,5.37734976917858,12.0235190194791,43161.310266155,12854.6124642223,433.43880154622,845.287497873483,58718.0722067751,197054.818197223,81435.3339479232,178868.916930191,2211191.06404042
"4","3",90,1011.26163658921,182.2355474679,1.86231421163822,1.50989247429689,41040.085007412,9159.34145142371,82.1380896846854,94.9545783739012,27820.5088500265,103493.366532134,33987.6809240551,122528.85352391,1122128.2794238
"5","10",90,1176.76820073683,301.673031723576,4.20953989530908,32.0888403404568,47801.9858662697,17523.1046453754,223.342921547251,1945.3086740541,131569.805656534,349293.994989437,523860.790563384,365983.378316928,5067358.36696138
"6","9",90,1141.17600192815,262.536059519115,10.5934176549952,21.7412778462358,45918.6039489462,14914.5259122642,581.177935027196,1432.98965246184,81377.7918953608,284800.013930959,144199.519240577,257115.568106188,3345564.23996807
"7","1",90,911.441990537876,80.342078585458,0.18734762538199,0.609529844540385,36300.3912075047,3680.11611299152,11.0791963044314,26.50354627266,18925.4396054864,42294.4150825842,14965.0363933404,76935.3174686881,491212.874895683
"8","8",90,1100.15487846741,227.676980767605,3.1160148494753,13.5432481346099,44662.6436990268,12619.0981777297,146.24504479848,759.191444383312,65633.2320480659,266202.367872009,111101.101180678,191351.872241549,2762044.3583512
"9","6",90,1046.28790708394,195.51550977457,1.74194025113501,5.02414408893436,41854.6326068681,10183.9405655876,98.9936195093171,379.0396251649,46203.5375011508,170682.218099024,72804.9997017268,152563.527934029,1870655.24401756
"10","2",90,1028.20585891046,106.218252776857,1.09931824920817,1.23999241046544,41132.731797629,5264.97492936105,51.9427774505141,62.9413972824404,20456.3986472211,89584.5747774168,35152.8933849075,105532.11864633,830969.759411731
"11","9",91,985.68832268611,358.653805895245,17.29275632778,15.9930951395147,68409.8537976534,34113.1914109882,1650.59951071867,1719.56239516431,98294.1029031949,314870.266459055,186976.893076005,311251.33842111,3633190.53008982
"12","10",91,1052.22938136509,434.520685665836,11.5819937162588,31.0647894031749,75552.2690438554,45290.812016171,1392.43301682085,3276.29365941122,189787.691626892,424641.891888924,563212.052610379,434246.133352124,5498522.33493879
"13","7",91,933.735269385372,247.71955925991,16.9104415575011,12.150202254391,63637.7973933066,22140.8226865455,1661.45613994381,1429.47518025865,75989.0745449691,255003.469751314,106021.520797399,235024.544943701,2607084.04811766
"14","4",91,998.740607305641,168.949518396741,4.83931784586003,8.78507167455111,67542.572401791,13267.2392621584,482.261921452304,1056.42191868661,49829.5456934825,177351.280434846,66794.5526648733,194505.758107056,1787264.33036842
"15","8",91,980.260452410494,285.614105719175,7.24974568522267,10.5967774616935,66914.7487570793,26420.86901374,766.120178875174,966.089215193035,83043.2025824578,246668.175569498,143613.24299937,256948.447490257,3057981.33733835
"16","5",91,952.072264989195,228.51959136601,3.48163504472507,7.64933089329967,63510.6403668518,18756.856392511,414.78643355743,681.365419937453,49745.3038602101,180086.988220362,71024.6924198702,200603.152179965,1875356.56193042
"17","6",91,948.415295804729,230.750601475316,11.1032618437538,9.52049676533052,63292.8290963341,20194.1535109839,829.145668161384,1142.51316403196,70056.3136554905,185584.975838259,94918.2613343368,212372.893735545,2138741.90478375
"18","3",91,925.736383771464,174.963500242394,1.44228373807051,0.890753612422306,60983.5950560106,14321.7439010227,110.586416018055,91.4249512681665,35853.4433574393,127166.714754271,52642.1756556263,163150.061375757,1478304.0437598
"19","2",91,919.457075423367,163.55094217932,3.364139140546,3.24695767696088,61009.2578722369,13100.8930269216,359.703274585669,230.49982921779,29826.9244358347,108837.20923765,33939.2421455026,155332.758721586,1064961.68901368
"20","1",91,839.746721105693,131.430416947955,2.05591144067607,0.45887818237252,55700.8389552737,10878.8769908368,175.176408349972,35.5028311452568,19201.5352060016,81315.0345419297,22129.9377581895,111383.652311493,780152.449867017
"21","3",92,858.231036600157,191.153364079908,3.72209717187074,4.30738233963654,77738.8489295675,20331.1543135559,475.556692150508,607.004745394343,51816.568833714,166065.545053604,68884.1147237625,236415.571141751,1816365.41962931
"22","2",92,864.287922968452,166.498198180641,2.0796126966245,2.79058411711267,79309.1421765659,17723.1180053638,244.460913545563,424.550104874879,53349.2229954442,136462.10612425,35751.1519006464,224226.431992818,1511982.23674832
"23","9",92,889.437290808468,349.321983700736,7.69417747923271,17.4230144636702,81577.2244430781,43371.8515166503,1110.72052217112,2244.13648272769,147190.19704373,367552.999012746,203065.189536855,455456.655402076,4641569.34313718
"24","10",92,924.24226744072,402.612816997631,9.33586807366368,32.0960577115463,85104.4545320381,53131.1844863508,1299.38413506876,4769.25471873019,264824.47779027,483830.611326254,649886.110227201,626486.38732435,7071692.83050577
"25","7",92,912.961817705326,273.082389983927,4.12663760566456,6.59066255310921,84330.8234031742,31970.1761111826,502.762147626821,871.491788100377,87673.5681466735,253978.7896124,130357.103501095,333655.298073465,3397566.72975221
"26","5",92,884.023851569135,216.422453379288,2.94984181923396,7.17127087091166,82224.9177971717,23632.0589323724,370.695884411756,959.589678767867,69169.7545536333,216193.062495185,86830.2857707838,276606.303897323,2567687.91116427
"27","4",92,894.335098433707,231.512905310538,3.45492638642906,5.49501122087707,82420.5788518588,26791.5828090765,456.899318316791,552.085000532275,69808.4895686925,158139.059328739,80471.340894242,257058.223121521,2108922.13172649
"28","8",92,873.37359218171,283.463986400724,3.68215878907061,14.5673532989404,80357.5372181689,34015.3226454811,473.384266312196,2066.18819233887,136795.312387329,300316.820567354,159900.112275587,353067.143033286,3736587.79721878
"29","1",92,735.411659212134,138.743803535052,4.07981902113596,2.12994159045183,66862.5275241955,14582.6236429039,501.65728890847,301.075488183351,36282.9538618631,112900.080047441,26847.8630009752,178773.820621946,1201875.95269059
"30","6",92,881.671328767709,245.91099238691,5.81153783587353,7.44241633118107,80037.2750402234,29010.9291945599,844.324952397373,1195.72995371572,79959.748523502,191228.660036993,101319.067923115,296727.114211205,2621549.40640528
"31","4",93,833.465040441117,190.677936026396,0.610103279026069,6.93531990570714,81609.5979141021,22784.7262483623,71.4218025742106,882.863764286846,61950.9493316786,190684.120428013,82301.0854397756,309344.696803132,2620019.82375281
"32","1",93,675.354497889768,166.872629870463,1.16121624594387,1.01540993368645,66352.4239235944,18604.3105765469,104.451607697569,212.503362832705,36684.4371107041,87085.4174260899,22111.566843344,180428.816978207,1194980.61931309
"33","3",93,841.593209545209,179.894210821775,4.32350246903888,7.3274052479304,82628.7560862966,21720.4486387967,501.530372426553,1046.64017321661,49632.342828017,187136.101249027,73521.8667368114,289079.408232411,2356292.02072733
"34","8",93,927.024065401012,243.957660177852,3.74607995297791,8.97314841923061,92559.1202020476,32578.3827003891,449.072922369496,1436.51108859335,127036.713081617,367533.409963225,193335.042112407,426391.123872814,4478386.19866736
"35","7",93,854.040322289085,217.310240465959,1.23307526314801,11.1536188039248,85224.4776668022,28437.195233254,130.819505393246,2033.095415676,95924.9580593696,328849.799433381,147705.088109598,393317.375489779,3956787.13021413
"36","6",93,887.265535000427,221.394570621985,3.5208101291569,15.8077564582494,87144.3956681227,29832.2983074637,361.170509886126,2733.55712610478,98578.8164216994,245677.057862526,134073.984737854,360581.591532989,3566445.05923878
"37","2",93,794.060798398206,191.906748453217,2.01578962769833,3.34858251935188,78416.3868669345,23234.7779123919,227.310873440661,543.517327215775,52996.6876519043,153451.808220922,70899.4473989522,252141.46232222,1643839.36183918
"38","5",93,865.585675758325,194.326312028871,3.2848641078371,7.45033267445361,86112.8250144169,23828.2363510016,424.358824017669,1222.87633582538,82457.363942497,241531.162890163,101218.563845195,327142.20631452,3062427.72831874
"39","10",93,947.523014646358,322.069568742021,12.1767224898254,34.4852135081297,95652.7542877904,47181.6266616077,2703.43838890726,5942.68985027476,270675.64078645,555944.221695509,1096050.6987568,663462.740708015,8366610.99899832
"40","9",93,909.662148057104,251.326207366292,5.79591467189153,18.7323493914067,91575.8986083303,36141.980010511,835.987072908992,3168.94194290208,149210.319559811,414107.688442366,223333.074572696,440329.502076122,5386832.86661387
