"","FoodType","ProvinceCode","N","Average_New","KCalories","Protein","Average_Protein"
"1","Berenj",0,111,34.1053855138853,1.2,0.09,3.06948469624968
"2","Ghand",0,326,32.5594286657276,4,0.03,0.976782859971827
"3","Goosht",0,142,7.44681182019132,2.5,0.225,1.67553265954305
"4","Hoboobat",0,177,10.5083479623136,3,0.1,1.05083479623136
"5","Khoshkbar",0,102,2.57271248998619,6,0.2,0.514542497997237
"6","Mahi",0,121,2.16845180996493,1,0.22,0.477059398192285
"7","Makarooni",0,323,33.0159836585538,3.6,0.0642857142857143,2.1224560923356
"8","Mast",0,228,26.055163674909,1.5,0.04,1.04220654699636
"9","Mive",0,357,158.950444351865,0.5,0,0
"10","Morgh",0,290,38.8542735494525,2,0.22,8.54794018087955
"11","Nan",0,409,346.200500485211,2.5,0.10125,35.0528006741276
"12","Panir",0,382,14.8301445195021,2.5,0.333333333333333,4.94338150650071
"13","Roghan",0,323,32.8204290277193,8,0,0
"14","Sabzi",0,400,153.925263326533,0.5,0.04,6.15701053306131
"15","Shir",0,255,53.9440579317852,2.5,0.0321428571428571,1.73391614780738
"16","Sibzamini",0,378,61.2147672312738,0.9,0.03,1.83644301693822
"17","Tokhmemorgh",0,393,22.9628559939835,1.4,0.0882352941176471,2.02613435241031
"18","Berenj",1,63,21.6955054216631,1.2,0.09,1.95259548794968
"19","Ghand",1,355,26.1821699285375,4,0.03,0.785465097856126
"20","Goosht",1,89,3.15169909633319,2.5,0.225,0.709132296674967
"21","Hoboobat",1,195,9.70043483158456,3,0.1,0.970043483158456
"22","Khoshkbar",1,181,3.38411129289327,6,0.2,0.676822258578655
"23","Mahi",1,92,5.24195596844864,1,0.22,1.1532303130587
"24","Makarooni",1,225,13.9039456768943,3.6,0.0642857142857143,0.893825079228919
"25","Mast",1,308,28.8939519744245,1.5,0.04,1.15575807897698
"26","Mive",1,367,154.897419935064,0.5,0,0
"27","Morgh",1,370,67.442112909128,2,0.22,14.8372648400082
"28","Nan",1,421,448.484680438841,2.5,0.10125,45.4090738944327
"29","Panir",1,349,9.93836450767783,2.5,0.333333333333333,3.31278816922594
"30","Roghan",1,366,29.1112358456513,8,0,0
"31","Sabzi",1,416,170.142977652124,0.5,0.04,6.80571910608498
"32","Shir",1,273,39.8072506649915,2.5,0.0321428571428571,1.27951877137473
"33","Sibzamini",1,400,88.0484732494753,0.9,0.03,2.64145419748426
"34","Tokhmemorgh",1,377,19.7265410226008,1.4,0.0882352941176471,1.74057714905301
"35","Berenj",2,15,6.39169044941072,1.2,0.09,0.575252140446965
"36","Ghand",2,209,28.1056316638666,4,0.03,0.843168949915997
"37","Goosht",2,71,4.02273454408829,2.5,0.225,0.905115272419865
"38","Hoboobat",2,177,14.9522263794453,3,0.1,1.49522263794453
"39","Khoshkbar",2,99,3.90222275842416,6,0.2,0.780444551684832
"40","Mahi",2,24,2.60941950723694,1,0.22,0.574072291592127
"41","Makarooni",2,183,18.9892444947717,3.6,0.0642857142857143,1.22073714609246
"42","Mast",2,186,45.0278734616875,1.5,0.04,1.8011149384675
"43","Mive",2,229,142.485724888723,0.5,0,0
"44","Morgh",2,207,57.453916773198,2,0.22,12.6398616901036
"45","Nan",2,244,403.542998800245,2.5,0.10125,40.8587286285248
"46","Panir",2,193,9.57512299229474,2.5,0.333333333333333,3.19170766409825
"47","Roghan",2,214,29.4253039867488,8,0,0
"48","Sabzi",2,236,167.555467262019,0.5,0.04,6.70221869048077
"49","Shir",2,172,54.8564831849485,2.5,0.0321428571428571,1.76324410237334
"50","Sibzamini",2,221,70.4488674743521,0.9,0.03,2.11346602423056
"51","Tokhmemorgh",2,229,20.4636701587706,1.4,0.0882352941176471,1.80561795518564
"52","Berenj",3,146,40.9843527420346,1.2,0.09,3.68859174678312
"53","Ghand",3,291,31.5841994657928,4,0.03,0.947525983973785
"54","Goosht",3,101,6.23648403408822,2.5,0.225,1.40320890766985
"55","Hoboobat",3,117,9.10584646406619,3,0.1,0.910584646406619
"56","Khoshkbar",3,141,3.81514814567099,6,0.2,0.763029629134199
"57","Mahi",3,82,2.08717973848123,1,0.22,0.45917954246587
"58","Makarooni",3,250,19.7375994663422,3.6,0.0642857142857143,1.26884567997914
"59","Mast",3,166,18.2839444460748,1.5,0.04,0.731357777842992
"60","Mive",3,329,141.901250035353,0.5,0,0
"61","Morgh",3,257,27.5080481486145,2,0.22,6.05177059269519
"62","Nan",3,371,389.265986106144,2.5,0.10125,39.413181093247
"63","Panir",3,174,6.19370047549992,2.5,0.333333333333333,2.06456682516664
"64","Roghan",3,285,35.5815290326305,8,0,0
"65","Sabzi",3,354,132.207262278893,0.5,0.04,5.28829049115571
"66","Shir",3,267,86.4607700696995,2.5,0.0321428571428571,2.77909618081177
"67","Sibzamini",3,321,66.0060844097776,0.9,0.03,1.98018253229333
"68","Tokhmemorgh",3,349,21.9927657866671,1.4,0.0882352941176471,1.9405381576471
"69","Berenj",4,93,38.5020488803858,1.2,0.09,3.46518439923473
"70","Ghand",4,160,32.6719120582027,4,0.03,0.980157361746081
"71","Goosht",4,37,3.39458741192277,2.5,0.225,0.763782167682623
"72","Hoboobat",4,70,6.0533667757733,3,0.1,0.60533667757733
"73","Khoshkbar",4,35,1.5406400775757,6,0.2,0.30812801551514
"74","Mahi",4,12,0.453237966039925,1,0.22,0.0997123525287835
"75","Makarooni",4,122,18.4513992132419,3.6,0.0642857142857143,1.18616137799412
"76","Mast",4,91,19.239158374684,1.5,0.04,0.76956633498736
"77","Mive",4,177,96.0607067152646,0.5,0,0
"78","Morgh",4,207,52.4918174128698,2,0.22,11.5481998308314
"79","Nan",4,233,420.22273425668,2.5,0.10125,42.5475518434889
"80","Panir",4,123,5.64465800232475,2.5,0.333333333333333,1.88155266744158
"81","Roghan",4,186,34.4008230554384,8,0,0
"82","Sabzi",4,218,137.695832647438,0.5,0.04,5.50783330589751
"83","Shir",4,132,64.9669622030197,2.5,0.0321428571428571,2.08822378509706
"84","Sibzamini",4,200,59.441030398551,0.9,0.03,1.78323091195653
"85","Tokhmemorgh",4,209,20.4995770303652,1.4,0.0882352941176471,1.80878620856163
"86","Berenj",5,64,41.2467025769848,1.2,0.09,3.71220323192863
"87","Ghand",5,108,36.7760864402572,4,0.03,1.10328259320772
"88","Goosht",5,7,0.471662747812762,2.5,0.225,0.106124118257871
"89","Hoboobat",5,47,7.25523562925737,3,0.1,0.725523562925737
"90","Khoshkbar",5,35,2.75945597886138,6,0.2,0.551891195772277
"91","Mahi",5,12,0.446586430755891,1,0.22,0.098249014766296
"92","Makarooni",5,95,38.3095245583716,3.6,0.0642857142857143,2.46275515018103
"93","Mast",5,83,19.4135086657492,1.5,0.04,0.776540346629966
"94","Mive",5,108,82.874635309328,0.5,0,0
"95","Morgh",5,110,65.2469099730419,2,0.22,14.3543201940692
