"","HHID","ProvinceCode","HIndivNo","Region","Total_Exp_Month","Total_Exp_Month_nondurable","Size","EqSizeRevOECD","Weight","Decile","HSex","HEduLevel","HEduYears","HActivityState","Benzin_Exp","Transportation_Exp","Other_Exp","Benzin_Exp_Add","Mehr98","Yaraneh2","Yaraneh","BenzinP1","TransportationP1","Other_ExpP1","BenzinP2","TransportationP2","Other_ExpP2","BenzinShare","TransportationShare","Other_ExpShare","CV","Loss","Loss_Amount","taxicode","Loss_Share"
"1","10001001505",0,1,"Urban",3844000,3844000,2,1.7,1176,1,"Male","Illiterate",0,"Income without Work",0,60000,3784000,0,187.9,1030000,1030000,0,82291.9708029197,5189880.2919708,0,91344.0875912409,6746844.37956204,0,0.0156087408949011,0.984391259105099,-1140890.85350607,1,110890.853506075,0,0.0288477766665126
"2","10002002902",0,1,"Urban",6811666.66666667,3555000,4,3.1,161,1,"Male","Illiterate",0,"Other",0,160000,6651666.66666667,0,187.9,1720000,1720000,0,219445.255474453,9122979.31873479,0,243584.233576642,11859873.1143552,0,0.0234891118179594,0.976510888182041,-2010696.02782714,1,290696.027827136,1,0.0426761968916764
"3","10108020305",1,1,"Urban",7169083.33333333,5958000,4,2.7,405,1,"Male","Secondary",12,"Income without Work",0,4e+05,6769083.33333333,0,178,1720000,1720000,0,519708.02919708,8794867.39659367,0,576875.912408759,11433327.6155718,0,0.0557951388485278,0.944204861151472,-2068923.89415761,1,348923.894157612,0,0.0486706428052325
"4","10113024017",1,1,"Urban",4114064.66666667,4095000,2,1.7,197,1,"Male","Illiterate",0,"Income without Work",0,0,4114064.66666667,0,178,1030000,1030000,0,0,5345281.09975669,0,0,6948865.4296837,0,0,1,-1234219.4,1,204219.4,0,0.0496393266869732
"5","10303042011",3,1,"Urban",6678000,5653000,4,3.1,884,1,"Male","Secondary",8,"Income without Work",0,80000,6598000,0,189,1720000,1720000,0,110364.96350365,9102350.3649635,0,122505.109489051,11833055.4744526,0,0.0119796346211441,0.988020365378856,-1986983.10021692,1,266983.100216921,0,0.0399794998827375
"6","10307043417",3,1,"Urban",4067916.66666667,3032500,2,1.7,1676,1,"Male","Primary",5,"Employed",0,240000,3827916.66666667,0,189,1030000,1030000,0,331094.890510949,5280848.54014599,0,367515.328467153,6865103.10218978,0,0.0589982587319471,0.941001741268053,-1171306.736178,1,141306.736177995,0,0.0347368807566515
"7","10312044714",3,1,"Urban",2141000,2141000,1,1,1168,1,"Female","Primary",5,"Income without Work",0,0,2141000,0,189,550000,550000,0,0,2953642.33576642,0,0,3839735.03649635,0,0,1,-642300,1,92300.0000000001,0,0.0431106959364783
"8","10403050517",4,1,"Urban",6421466.66666667,5514800,4,2.7,1310,1,"Male","Primary",5,"Unemployed",0,0,6421466.66666667,0,177,1720000,1720000,0,0,8296347.44525547,0,0,10785251.6788321,0,0,1,-1926440,1,206440,0,0.0321484188451237
"9","10404051708",4,1,"Urban",6278333.33333333,5260000,4,2.7,961,1,"Male","Primary",5,"Unemployed",0,250000,6028333.33333333,0,177,1720000,1720000,0,322992.700729927,7788430.65693431,0,358521.897810219,10124959.8540146,0,0.0398194850013273,0.960180514998673,-1832309.82317366,1,112309.823173658,0,0.0178884772774608
"10","10409055017",4,1,"Urban",1878000,1878000,1,1,951,1,"Female","Illiterate",0,"Other",0,0,1878000,0,177,550000,550000,0,0,2426321.16788321,0,0,3154217.51824818,0,0,1,-563400,1,13400.0000000001,0,0.00713525026624074
"11","10603073908",6,1,"Urban",7844166.66666667,7615000,5,3.2,1559,1,"Female","Illiterate",0,"Income without Work",0,2e+05,7644166.66666667,0,183.6,2050000,2050000,0,268029.197080292,10244299.270073,0,297512.408759124,13317589.0510949,0,0.0254966535642197,0.97450334643578,-2312251.5334643,1,262251.5334643,0,0.0334326824771231
"12","10613081717",6,1,"Urban",7510000,5450000,7,4.4,1443,1,"Male","Primary",5,"Employed",0,130000,7380000,0,183.6,2050000,2050000,0,174218.97810219,9890277.37226277,0,193383.065693431,12857360.5839416,0,0.0173102529960053,0.982689747003995,-2226333.7658406,1,176333.7658406,0,0.0234798622956858
"13","10613081817",6,1,"Urban",7880000,6155000,6,4.5,1443,1,"Male","Illiterate",0,"Employed",0,140000,7740000,0,183.6,2050000,2050000,0,187620.437956204,10372729.9270073,0,208258.686131387,13484548.9051095,0,0.0177664974619289,0.982233502538071,-2335283.55166346,1,285283.55166346,0,0.0362034964039924
"14","10708090208",7,1,"Urban",6022796,5600500,4,2.7,1871,1,"Male","Primary",5,"Employed",2e+05,50000,5772796,0,174.5,1720000,1720000,2e+05,63686.1313868613,7352940.89051095,3e+05,70691.6058394161,9558823.15766423,0.0332071682321633,0.00830179205804082,0.958491039709796,-1833821.12959226,1,113821.129592257,0,0.0188983869937247
"15","10708090211",7,1,"Urban",3808898,3476500,2,1.7,1871,1,"Male","Illiterate",0,"Income without Work",0,0,3808898,0,174.5,1030000,1030000,0,0,4851479.56934307,0,0,6306923.44014599,0,0,1,-1142669.4,1,112669.4,0,0.0295805768492619
"16","10710091102",7,1,"Urban",6453000,6453000,4,3.1,1902,1,"Male","Secondary",12,"Income without Work",0,50000,6403000,0,174.5,1720000,1720000,0,63686.1313868613,8155645.98540146,0,70691.6058394161,10602339.7810219,0,0.00774833410816674,0.992251665891833,-1925636.00803494,1,205636.008034941,0,0.0318667298984876
"17","10812104211",8,1,"Urban",5987546,5229000,4,2.7,434,1,"Male","Secondary",12,"Income without Work",6e+05,0,5387546,0,177.3,1720000,1720000,6e+05,0,6972349.67737226,9e+05,0,9064054.58058394,0.100207998402016,0,0.899792001597984,-1908686.59453124,1,188686.594531236,0,0.0315131766054467
"18","10812104214",8,1,"Urban",5277680.33333333,5152000,3,2.2,434,1,"Male","Secondary",12,"Employed",150000,2e+05,4927680.33333333,0,177.3,1380000,1380000,150000,258832.116788321,6377209.65766423,225000,287303.649635037,8290372.5549635,0.0284215773836498,0.0378954365115331,0.933682986104817,-1570140.30423648,1,190140.304236476,0,0.0360272491373848
"19","10813104514",8,1,"Urban",7324578.33333333,6669000,5,3.2,355,1,"Male","Secondary",8,"Employed",0,150000,7174578.33333333,0,177.3,2050000,2050000,0,194124.087591241,9285056.48540146,0,215477.737226277,12070573.4310219,0,0.0204789945814856,0.979521005418514,-2166612.46604372,1,116612.466043719,0,0.0159207070682866
