,1
Decile,NA
HHID,15519080191
G13,3636615.884
Premium_gheyredarmani_karfarma,407664.2904
Auto2_rani,329774.3901
Premium_gheyredarmani_mostakhdem,240608.1003
Premium_Social_Karfarma,205169.4451
Auto1_Irani,189874.2015
Premium_Shakhsesales,162445.4578
Premium_Medical_Rural,143721.8718
Premium_Social_Mostakhdem,131644.8849
Pardakht_Enteghali,117064.8041
Bastari_G,110216.0635
Bastari_NG,99942.7437
Gardanband_Gold,64038.5985
Premium_retirement_karfarma,61381.90146
Enrollment_Azad_Uni,50334.87093
Ghali_Mashini,45371.87676
Premium_retirement_mostakhdem,41372.66192
freezer2,36747.99847
Lastik_Mashin,31161.06382
Mobile,30926.41769
Tamirat_Asasi,28437.21572
Fetrie,28096.3808
Fee_Loan_NoMaskan,25911.71429
Travel_Haj,25735.93548
Premium_Medical_Government,25696.21232
Shenasname_Kartmelli,24974.5257
KhesaratbeAfrad,24051.63662
Mobl,23473.21447
Mashin_Lebasshooyi,22897.46392
Enrollment_Uni_G,22781.23999
TV_Rangi_Khareji,22403.92471
Premium_Other,21790.20051
Premium_Medical_Household,20140.17828
Enrollment_Dabestan_NG,18456.88488
Premium_retirement_general,17834.62186
Sandoogh_Sadaghat,17251.27671
Premium_Naghlie,16211.11545
HelptoMasjed,16078.2426
Enrollment_Dabestan_G,14918.00559
Safkari,14275.81075
Asfalt_Bam,13592.83803
Ojrat_Bana,12932.59732
Gozarname,12882.399
KomakFanar,12287.42835
HazineNasb3,12246.64556
OtherTamir_Mashin,12023.44839
Cooler_Gaz,11953.3379
Yakhchal,10737.48052
HelptoDabirestan,10543.33018
Enrollment_Rahnamayi_G,10524.61438
Premium_retirement_bank,10354.43317
Filter_Roghan,10234.44552
Premium_retirement_Rural_Govern,10196.5824
Motor,10185.53275
Enrollment_Dabirestan_G,10065.5609
Book_Dabestan,9800.319649
HelptoSchool,9475.854733
Komod,9398.489679
Auto2_Khareji,8788.307486
Battery_Machin,8417.251964
Kafnodafn,8389.690152
Lavazem_Yadak,8163.594036
Jarime_Mashin,7994.027117
Enrollment_Dabirestan_NG,7944.315359
OjaghGaz,7658.825541
Premium_Medical_General,7526.79485
Takhtekhab,7335.085966
Travel_Mazhabi_Iran,7333.219872
Jarahi_NG,7315.443069
Naghashi_Masaleh,7244.613949
Cooler_Repair,7125.352391
Dar_Panjere,6567.241807
Jaroobarghi,6505.288623
KaghazDivari,6500.282005
ShimiDarmani_NG,6358.004291
Seramik,6278.143888
Book_Dabirestn,6267.929061
Die,6145.396105
Abmivergiri,6118.284994
Madahi,6045.730936
Book_Uni,5953.765036
Enrollment_Elmikarbordi,5926.219191
Book_Rahnamayi,5847.332601
EnrollmentZaban,5816.349573
Lole_Ab,5584.741362
Enrollment_Rahnamayi_NG,5552.147808
Premium_Havades,5498.681929
Mozaik,5261.802884
Mase,5256.183044
Premium_retirement_Rural_Household,5222.329137
Avareze_Khorooj,5216.986028
ShimiDarmani_G,5100.581723
lastik_Motor,5014.422282
Azmayeshgah_G,4685.917972
Ghali_Dastbaf,4668.544422
Premium_Omr,4582.62477
Siman,4559.992078
Talim_Ranandegi,4407.77604
Khoms,4277.074249
Fee_Loan_Maskan,4151.271023
TV_Rangi_Irani,4120.576244
Ojrat_Kargar,4041.499294
Auto1_Khareji,4031.090015
Mooket,4022.154242
Bokhari,3884.701332
Aramgah,3777.278158
Moayene_Fani,3294.913652
Photocopy,3173.948194
Jarahi_G,3048.0167
ghahvejoosh,3012.363365
Shirkhargah,2983.955961
Hagholvekalat,2956.89855
Book_Komakdarsi,2945.501163
Heyvan_Food,2592.867446
Charkh_Khayati,2584.426677
Azmayeshgah_NG,2569.487277
LavazemRepair3,2524.4397
Polopaz,2458.359819
Simkeshi_Mashin,2454.531928
Atishbazi,2259.378342
Iranit,2181.602288
